belongs_to_collection,budget,genres,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
"{'id': 221308, 'name': 'Oh, God! Collection', 'poster_path': '/sK5QT8qQp2fGVu3YMRM9SAjcOKD.jpg', 'backdrop_path': None}",0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",38147,tt0081268,en,"Second 'Oh God' movie has God appearing before 11-year-old Tracy Richards to ask for her help to spread his word and influence over the world which she suggests the slogan 'Think God.' Naturaly, Tracy's divorced parents Paula and Don think Tracy's just crazy and plot to halt her 'heaven-sent' mission to spread God's word. Written by Matthew Patay",1.189834,/fqvTVcrMGDck7rptg4akn7nz9AF.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/3/80,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"That's right, I made another movie. You know me, I can't stop creating.","Oh, God! Book II",4.9,14
"{'id': 221308, 'name': 'Oh, God! Collection', 'poster_path': '/sK5QT8qQp2fGVu3YMRM9SAjcOKD.jpg', 'backdrop_path': None}",0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",24032,tt0076489,en,"When God appears to an assistant grocery manager as a good natured old man, the Almighty selects him as his messenger for the modern world.",2.660367,/5E2wduDikzr3luDUTOwNBzYvCwQ.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/7/77,41687243,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's true. People have trouble remembering My Words. Moses had such a bad memory I had to give him tablets.,"Oh, God!",6.3,36
,85000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",5851,tt0284490,en,A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.,4.917863,/a1vRxRQFRwheHXJESIt2cnfudaH.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Tribeca Productions', 'id': 11391}, {'name': 'Overbrook Entertainment', 'id': 12485}, {'name': 'Material', 'id': 67989}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/14/02,77741732,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Lights. Camera. Aggravation.,Showtime,5.3,286
,55000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",9275,tt0266452,en,"Tells the story of Rainbow Randolph, the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy, a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.",8.127591,/kF73OhS7KJe7xQBclbyR6uJGbj0.jpg,"[{'name': 'Senator Film Produktion', 'id': 191}, {'name': 'Mad Chance', 'id': 1757}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Filmfour', 'id': 6705}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/28/02,0,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Get ready for an unexpected hit.,Death to Smoochy,5.9,133
,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",2565,tt0099892,en,"Hypochondriac Joe Banks finds out he has six months to live, quits his dead end job, musters the courage to ask his female co-worker out on a date, and is then hired to jump into a volcano by a mysterious visitor.",9.019396,/6VVYtZ7NzYB4jN4qhb668b5Vva3.jpg,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/9/90,39404261,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An average Joe. An adventurous comedy.,Joe Versus the Volcano,5.5,150
,50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11892,tt0264935,en,"Tenacious homicide detective Cassie Mayweather and her still-green partner are working a murder case, attempting to profile two malevolently brilliant young men: cold, calculating killers whose dark secrets might explain their crimes.",9.645801,/zL2aUMe2haBikOZSxmndSDD4qi.jpg,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Schroeder Hoffman Productions', 'id': 23382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/19/02,56714147,120,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The only flaw in their plan was her.,Murder by Numbers,6,275
,0,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}, {'id': 10402, 'name': 'Music'}]",14117,tt0045591,en,"Doris Day and Howard Keel fuss, feud and fall in love as Calamity Jane and Wild Bill Hickok. At first curvaceous Calamity is too durned busy fighting Indians and cracking a bullwhip to pay mind to such girlie what-alls as dresses and perfume. She soon changes her mind when Katie Brown arrives in town.",5.587033,/21c7QTqetZ7Z4BZYPw0CgNnPHC4.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/4/53,0,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Warner Bros. sky highest, smile widest, wild and woolliest Western of 'em all!",Calamity Jane,6.8,49
"{'id': 168182, 'name': 'Philo & Clyde Collection', 'poster_path': '/noLaQo6CZSQ3zoBZcgpzfsLMkVk.jpg', 'backdrop_path': '/fAJgSlQ6SENfdjYiengTnoiXgK7.jpg'}",5,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",15417,tt0077523,en,"Philo Beddoe is your regular, easygoing, truck-driving guy. He's also the best bar-room brawler west of the Rockies. And he lives with a 165-pound orangutan named Clyde. Like other guys, Philo finally falls in love - with a flighty singer who leads him on a screwball chase across the American Southwest. Nothing's in the way except a motorcycle gang, and legendary brawler Tank Murdock.",6.759519,/waGLjW4eC8zww90iTZKX7vFm2DM.jpg,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/19/78,85,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Clint Eastwood will turn you Every Which Way But Loose,Every Which Way But Loose,6.2,126
"{'id': 86860, 'name': 'Scooby-Doo Collection', 'poster_path': '/YAuhbJKSG1R42QHJmbGsNQ80Fd.jpg', 'backdrop_path': '/aj598PG0VipBkiQXtikXdX5jRR4.jpg'}",84000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",9637,tt0267913,en,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways.",8.592826,/jnhGTpAdwqxicXIzrAK4QLInQgl.jpg,"[{'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Mosaic Media Group', 'id': 748}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/14/02,275650703,88,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Get a Clue,Scooby-Doo,5.4,853
,15600000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",35696,tt0247444,en,"A basketball star is booted out of the NBA when his on-court antics go too far, so he poses as a woman and joins the WUBA.",3.970857,/rDGsIPzCM9h1zpPvdtkadla2pPl.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/21/02,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Juwanna Mann,4.2,20
,10000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}]",59387,tt0289408,en,"The Powerpuff Girls Movie tells the origin story of how the Powerpuff Girls were created and how they came to be the defenders of Townsville. It was the first Hanna-Barbera/Cartoon Network Studios theatrical feature film since 1993's Once Upon a Forest, and is the only film based on a Cartoon Network series to be released theatrically.",5.024459,/3bbSX8mKd3pUFvGdyPpl1LYsNWu.jpg,"[{'name': 'Warner Bros. Pictures', 'id': 174}, {'name': 'Warner Bros. Animation', 'id': 2785}, {'name': 'Cartoon Network Studios', 'id': 7899}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/3/02,11411644,77,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Saving the world before bedtime!,The Powerpuff Girls Movie,5.6,49
,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",8869,tt0271367,en,"The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chris McCormack and Sheriff Sam Parker to mobilize an eclectic group of townspeople, including the Sheriff's young son, Mike, her daughter, Ashley, and paranoid radio announcer Harlan, into battle against the bloodthirsty eight-legged beasts.",10.800753,/bZ0NbGYLsMQvJK0DZbr8uu9poHU.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Centropolis Entertainment', 'id': 347}, {'name': 'Electric Entertainment', 'id': 3241}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",7/17/02,0,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Do you hate spiders? Do you really hate spiders? Well they don't like you either.,Eight Legged Freaks,5.4,303
,50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",9573,tt0309377,en,"Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.",5.852263,/bRGewrLrBJKLTYkO4zoTS8MxOHX.jpg,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/4/02,26199517,110,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,He's a heartbeat away from catching the killer,Blood Work,6.1,210
,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",30072,tt0256276,en,"Maud Bailey, a brilliant English academic, is researching the life and work of poet Christabel La Motte. Roland Michell is an American scholar in London to study Randolph Henry Ash, now best-known for a collection of poems dedicated to his wife. When Maud and Roland discover a cache of love letters that appear to be from Ash to La Motte, they follow a trail of clues across England, echoing the journey of the couple over a century earlier.",4.439325,/yxiWcPQVG154j5bfQVs2xRbPjJ.jpg,"[{'name': 'Warner Bros. Pictures', 'id': 174}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Baltimore Spring Creek Productions', 'id': 16061}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/2/02,10113733,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The past will connect them. The passion will possess them.,Possession,6.5,54
,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",46878,tt0078350,en,"Scientist Dr. Bradford Crane and army general Thalius Slater join forces to fight an almost invisible enemy threatening America; killer bees that have deadly venom and attack without reason. Disaster movie-master Irwin Allen's film contains spectacular special effects, including a train crash caused by the eponymous swarm.",3.955633,/4AsVSKw3cIPYilkxnPtPwv4Uhbr.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/14/78,0,116,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Monsters by the millions - and they're all for real!,The Swarm,5.4,50
,40000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",13536,tt0269095,en,A man struggling to come to terms with the sins of his father makes the terrible discovery that his own son has fallen into a life of crime in a drama based on a true story. Vincent LaMarca is a dedicated and well-respected New York City police detective who has gone to great lengths to distance himself from his past.,3.903016,/rFb1HGXjh3X1iVFXUCIKuFdKykM.jpg,"[{'name': 'Warner Bros. Pictures', 'id': 174}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Brad Grey Pictures', 'id': 10958}, {'name': 'Sea Breeze Productions Inc.', 'id': 76490}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/6/02,22433915,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,When you're searching for a killer... the last suspect you want to see is your son.,City By The Sea,5.7,92
,0,"[{'id': 18, 'name': 'Drama'}]",233,tt0080117,en,The streets of the Bronx are owned by 60’s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’,3.386374,/l76lnVXe34KumtSd28dSHqZ9Uw5.jpg,"[{'name': 'Orion Pictures Corporation', 'id': 14150}, {'name': 'Warner Bros. Home Entertainment Group', 'id': 14772}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/13/79,23000000,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It was the Wanderer's Against The World...,The Wanderers,7.2,55
,1200000,"[{'id': 35, 'name': 'Comedy'}]",9260,tt0271259,en,"Five hapless inner-city low-lifes attempt to burgle a pawnbroker's safe, but end up being plagued by bad luck.",3.031934,/mCiWuDYKr9UyX6BJfayPkHmtU8u.jpg,"[{'name': 'Section Eight', 'id': 129}, {'name': 'Pandora Cinema', 'id': 185}, {'name': 'Gaylord Films', 'id': 5367}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'H5B5 Media AG', 'id': 21625}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",5/24/02,0,86,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Five guys. One safe. No brains.,Welcome to Collinwood,6.2,50
,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",19953,tt0058230,en,Milquetoast Henry Limpet experiences his fondest wish and is transformed into a fish. As a talking fish he assists the US Navy in hunting German submarines during World War II.,3.37816,/twMv5DK5O7PwxXBJ9Vg3uXasWCk.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/28/64,0,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,GLUB! The Face That Launched A Thousand Torpedoes!,The Incredible Mr. Limpet,6.4,38
,0,"[{'id': 18, 'name': 'Drama'}]",10994,tt0283139,en,A teenager journeys through a series of foster homes after her mother goes to prison for committing a crime of passion.,13.75498,/etAtNR0WN8IUWfJrgW89D8nKf6x.jpg,"[{'name': 'Pandora Filmproduktion', 'id': 254}, {'name': 'John Wells Productions', 'id': 1512}, {'name': 'Gaylord Films', 'id': 5367}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Oleandor Productions', 'id': 12426}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/11/02,0,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,White Oleander,7.2,111
,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",5917,tt0080031,en,A renowned former army scout is hired by ranchers to hunt down rustlers but finds himself on trial for the murder of a boy when he carries out his job too well. Tom Horn finds that the simple skills he knows are of no help in dealing with the ambitions of ranchers and corrupt officials as progress marches over him and the old west.,1.95931,/lsOqgR1IRqxIi1zDeHPSLhRW0p8.jpg,"[{'name': 'Solar Productions', 'id': 599}, {'name': 'First Artists', 'id': 4376}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/28/80,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,See him before he sees you,Tom Horn,6.9,26
,0,"[{'id': 35, 'name': 'Comedy'}]",33670,tt0081695,en,"This puber-comedy is a kind of mixture between 'Animal House' and 'Police Academy'. Four boys are sent, for different reasons, to a the Sheldon R. Wienberg military academy. The life of dicipline asks a lot of the four geeks. Of course these boys know how to make a party out of the hard times. Will they be 'real men' after one year? Written by Evert Poppen",1.987499,/c65ghqyOpcviUJ7NgHveGUWf0n6.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/6/80,0,87,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The education they got wasn't in books.,Up the Academy,6.1,8
,20000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",47942,tt0081747,en,An active volcano threatens a south Pacific island resort and its guests as a power struggle ensues between the property's developer and a drilling foreman.,2.284384,/8HhS57TsCKU8QxPHgFMLw8gG3eW.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'International Cinema', 'id': 89143}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/28/80,3763988,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Caught in a game of power. Playing time: 24 hours. Prizes: Untold wealth. Rules: None.,When Time Ran Out...,7,22
